,id,polarisability,homo_lumo_gap,ligands,lig1,lig2,lig3,lig4
308,308,461.312218,1.723418506066,"BICRIQ-subgraph-3,BIFZEX-subgraph-0,BIFZEX-subgraph-0,BIFZEX-subgraph-0",BICRIQ-subgraph-3,BIFZEX-subgraph-0,BIFZEX-subgraph-0,BIFZEX-subgraph-0
1231,1231,460.284722,2.816024505984,"QEWZOH-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",QEWZOH-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
62208,62208,460.139689,2.195515178454,"NURKEQ-subgraph-2,KULGAZ-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0",NURKEQ-subgraph-2,KULGAZ-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0
122353,122354,460.128395,2.076838885436,"BIFZEX-subgraph-0,NURKEQ-subgraph-2,BIFZEX-subgraph-0,KULGAZ-subgraph-2",BIFZEX-subgraph-0,NURKEQ-subgraph-2,BIFZEX-subgraph-0,KULGAZ-subgraph-2
89498,89499,460.123733,1.009668499787,"BIFZEX-subgraph-0,CUJYEL-subgraph-2,RAJXUX-subgraph-2,RAJXUX-subgraph-2",BIFZEX-subgraph-0,CUJYEL-subgraph-2,RAJXUX-subgraph-2,RAJXUX-subgraph-2
135998,135999,460.075508,0.992987427463,"RAJXUX-subgraph-2,CUJYEL-subgraph-2,RAJXUX-subgraph-2,BIFZEX-subgraph-0",RAJXUX-subgraph-2,CUJYEL-subgraph-2,RAJXUX-subgraph-2,BIFZEX-subgraph-0
98032,98033,459.98212,2.554210280632,"CUJYEL-subgraph-2,BIFMOV-subgraph-1,CUJYEL-subgraph-2,BIFZEX-subgraph-0",CUJYEL-subgraph-2,BIFMOV-subgraph-1,CUJYEL-subgraph-2,BIFZEX-subgraph-0
89497,89498,459.907935,1.01806997027,"CUJYEL-subgraph-2,BIFZEX-subgraph-0,RAJXUX-subgraph-2,RAJXUX-subgraph-2",CUJYEL-subgraph-2,BIFZEX-subgraph-0,RAJXUX-subgraph-2,RAJXUX-subgraph-2
62209,62209,459.890595,2.265637980467,"KULGAZ-subgraph-2,NURKEQ-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0",KULGAZ-subgraph-2,NURKEQ-subgraph-2,BIFZEX-subgraph-0,BIFZEX-subgraph-0
13567,13567,459.810608,2.979149449718,"BIFZEX-subgraph-0,BIFMOV-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2",BIFZEX-subgraph-0,BIFMOV-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2
